STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AZ,6,H2AZ05132,,W. John,Williamson,D,"11,471",48.09%,,,,
AZ,6,n/a,,,,D,"23,854",,,,,
AZ,6,H2AZ06189,,Jack,Anderson,LIB,287,100.00%,,,"10,167",3.47%
AZ,6,n/a,,,,LIB,287,,,,,
AZ,6,H2AZ06197,,Mark,Salazar,W(GRE)/GRE,2,100.00%,,,"5,637",1.92%
AZ,6,n/a,,,,GRE,2,,,,,
AZ,6,n/a,,James,Ketover,W,,,,,1,0.00%
AZ,6,n/a,,,,,"105,378",,,,"293,177",
AZ,,n/a,,,,,,,,,,
AZ,7,H2AZ02055,(I),Ed,Pastor,D,"22,664",79.03%,,,"104,489",81.74%
AZ,7,H8AZ04116,,Rebecca,DeWitt,D,"6,013",20.97%,,,,
AZ,7,n/a,,,,D,"28,677",,,,,
AZ,7,H6AZ07022,,Joe,Cobb,LIB,162,100.00%,,,"23,338",18.26%
AZ,7,n/a,,,,LIB,162,,,,,
AZ,7,H2AZ07179,,Scott,Fistler,W(R),116,100.00%,,,,
AZ,7,n/a,,,,R,116,,,,,
AZ,7,n/a,,,,,"28,955",,,,"127,827",
AZ,,n/a,,,,,,,,,,
AZ,8,H4AZ04024,(I),Trent ,Franks,R,"57,257",83.17%,,,"172,809",63.35%
AZ,8,H2AZ08144,,Tony,Passalacqua,R,"11,572",16.81%,,,,
AZ,8,H2AZ08136,,Helmuth,Hack,W(R),18,0.03%,,,,
AZ,8,n/a,,,,R,"68,847",,,,,
AZ,8,H0AZ03248,,Gene,Scharer,D,"24,510",100.00%,,,"95,635",35.06%
AZ,8,n/a,,,,D,"24,510",,,,,
AZ,8,H2AZ08151,,Stephen,Dolgos,AE,34,100.00%,,,"4,347",1.59%
AZ,8,n/a,,,,AE,34,,,,,
AZ,8,n/a,,,,,"93,391",,,,"272,791",
AZ,,n/a,,,,,,,,,,
AZ,9,H2AZ09019,,Kyrsten,Sinema,D,"15,536",40.78%,,,"121,881",48.73%
AZ,9,H2AZ09027,,David,Schapira,D,"11,419",29.97%,,,,
AZ,9,H2AZ09043,,Andrei,Cherny,D,"11,146",29.25%,,,,
AZ,9,n/a,,,,D,"38,101",,,,,
AZ,9,H0AZ03321,,Vernon B.,Parker,R,"11,184",22.46%,,,"111,630",44.63%
AZ,9,H2AZ09035,,Wendy,Rogers,R,"10,479",21.05%,,,,
AZ,9,H2AZ09050,,Martin,Sepulveda,R,"10,165",20.42%,,,,
AZ,9,H2AZ06155,,Travis,Grantham,R,"9,179",18.44%,,,,
AZ,9,H2AZ09118,,Jeff,Thompson,R,"3,358",6.75%,,,,
AZ,9,H2AZ09100,,Lisa,Borowsky,R,"3,281",6.59%,,,,
AZ,9,H2AZ09084,,Leah,Campos Schandlbauer,R,"2,139",4.30%,,,,
AZ,9,n/a,,,,R,"49,785",,,,,
AZ,9,H4AZ02119,,Powell,Gammill,W(LIB)/LIB,90,100.00%,,,"16,620",6.64%
AZ,9,n/a,,,,LIB,90,,,,,
AZ,9,n/a,,,,,"87,976",,,,"250,131",
AZ,,n/a,,,,,,,,,,
AZ,H,n/a,,,,,"796,248",,,,"2,173,317",
AZ,,n/a,,,,,,,,,,
AZ,S,S2AZ00141,,Jeff,Flake,R,"357,360",69.25%,,,"1,104,457",49.23%
AZ,S,S2AZ00190,,Wil,Cardon,R,"110,150",21.35%,,,,
AZ,S,S2AZ00216,,Clair,Van Steenwyk,R,"29,159",5.65%,,,,
AZ,S,S2AZ00166,,Bryan,Hackbarth,R,"19,174",3.72%,,,,
AZ,S,S2AZ00240,,John,Lyon,W(R),126,0.02%,,,,
AZ,S,S2AZ00281,,Luis,Acle,W(R),56,0.01%,,,,
AZ,S,n/a,,,,R,"516,025",,,,,
AZ,S,S2AZ00232,,Richard,Carmona,D,"289,881",100.00%,,,"1,036,542",46.20%
AZ,S,n/a,,,,D,"289,881",,,,,
AZ,S,S2AZ00299,,Marc,Victor,W(LIB)/LIB,591,100.00%,,,"102,109",4.55%
AZ,S,n/a,,,,LIB,591,,,,,
AZ,S,S2AZ00307,,Stephen,Watts,W,,,,,290,0.01%
AZ,S,n/a,,Don,Manspeaker,W,,,,,24,0.00%
AZ,S,n/a,,,,,"806,497",,,,"2,243,422",
,,n/a,,,,,,,,,,
AR,,n/a,,,,,,,,,,
AR,1,H0AR01083,(I),Rick ,Crawford,R,Unopposed,,,,"138,800",56.23%
AR,1,H2AR01071,,Scott,Ellington,D,"27,936",49.53%,"10,028",50.74%,"96,601",39.13%
AR,1,H2AR01055,,Clark M.,Hall,D,"21,861",38.76%,"9,737",49.26%,,
AR,1,H2AR01063,,Gary,Latanich,D,"6,605",11.71%,,,,
AR,1,n/a,,,,D,"56,402",,"19,765",,,
AR,1,H2AR01089,,Jessica,Paxton,LIB,,,,,"6,427",2.60%
AR,1,H2AR01097,,Jacob,Holloway,GRE,,,,,"5,015",2.03%
AR,1,n/a,,,,,"56,402",,"19,765",,"246,843",
