Date,Open,High,Low,Close,Volume,Adjusted Close
2012-12-13,326.52,329.19,324.08,325.52,0.0,325.52
2012-12-12,326.5,328.85,325.73,326.24,0.0,326.24
2012-12-11,321.11,326.23,321.11,325.56,0.0,325.56
2012-12-10,321.06,322.89,320.64,321.11,0.0,321.11
2012-12-07,322.57,322.83,320.18,321.74,0.0,321.74
2012-12-06,318.39,321.76,317.81,321.68,0.0,321.68
2012-12-05,319.03,319.71,315.44,318.0,0.0,318.0
2012-12-04,319.27,320.62,316.14,319.96,0.0,319.96
2012-12-03,322.43,323.11,319.19,319.52,0.0,319.52
2012-11-30,321.13,321.63,319.58,321.27,0.0,321.27
2012-11-29,321.31,323.16,319.88,322.03,0.0,322.03
2012-11-28,312.84,318.41,311.61,318.37,0.0,318.37
2012-11-27,316.35,317.21,313.84,314.78,0.0,314.78
2012-11-26,315.34,316.94,313.6,316.93,0.0,316.93
2012-11-23,313.46,315.54,312.58,315.54,0.0,315.54
2012-11-21,308.18,310.46,307.95,310.33,0.0,310.33
2012-11-20,307.46,309.69,306.16,308.18,0.0,308.18
2012-11-19,306.15,307.53,305.45,307.53,0.0,307.53
2012-11-16,301.53,303.46,298.14,302.71,0.0,302.71
2012-11-15,301.57,303.27,299.27,301.37,0.0,301.37
2012-11-14,306.85,307.46,301.01,301.42,0.0,301.42
2012-11-13,305.17,307.62,304.13,304.25,0.0,304.25
2012-11-12,307.23,308.09,305.33,306.64,0.0,306.64
2012-11-09,302.72,308.59,302.63,305.59,0.0,305.59
2012-11-08,308.66,310.01,303.85,303.86,0.0,303.86
2012-11-07,310.31,312.05,305.16,306.44,0.0,306.44
2012-11-06,309.93,313.55,309.93,312.05,0.0,312.05
2012-11-05,307.64,310.44,306.65,309.93,0.0,309.93
2012-11-02,313.83,313.83,308.0,308.02,0.0,308.02
2012-11-01,304.42,310.81,303.83,310.45,0.0,310.45
2012-10-31,303.7,304.39,301.13,303.77,0.0,303.77
2012-10-26,302.0,305.6,300.03,304.91,0.0,304.91
2012-10-25,303.91,304.81,300.93,302.11,0.0,302.11
2012-10-24,309.09,309.09,301.47,301.68,0.0,301.68
2012-10-23,305.5,309.89,304.98,308.64,0.0,308.64
2012-10-22,307.85,310.05,306.51,308.35,0.0,308.35
2012-10-19,314.22,314.23,306.77,307.8,0.0,307.8
2012-10-18,318.64,320.02,313.31,314.8,0.0,314.8
2012-10-17,318.38,319.88,316.83,318.74,0.0,318.74
2012-10-16,317.18,320.57,316.76,319.83,0.0,319.83
2012-10-15,315.06,316.82,312.57,316.54,0.0,316.54
2012-10-12,315.41,316.87,313.67,314.57,0.0,314.57
2012-10-11,317.53,318.15,314.34,315.7,0.0,315.7
2012-10-10,316.95,317.82,314.13,314.67,0.0,314.67
2012-10-09,323.39,323.39,316.79,316.95,0.0,316.95
2012-10-08,324.14,326.92,322.91,325.03,0.0,325.03
2012-10-05,326.56,330.2,324.27,325.08,0.0,325.08
2012-10-04,323.78,327.03,323.06,326.56,0.0,326.56
2012-10-03,322.47,324.04,320.85,323.75,0.0,323.75
2012-10-02,322.02,322.73,319.64,321.21,0.0,321.21
2012-10-01,321.24,323.54,319.48,320.9,0.0,320.9
2012-09-28,322.49,323.56,320.58,321.24,0.0,321.24
2012-09-27,319.18,323.1,318.51,322.63,0.0,322.63
2012-09-26,318.81,318.94,314.16,316.94,0.0,316.94
2012-09-25,323.68,324.43,318.68,318.68,0.0,318.68
2012-09-24,321.47,323.33,320.93,322.61,0.0,322.61
2012-09-21,326.23,327.26,323.69,323.96,0.0,323.96
2012-09-20,323.37,324.46,321.88,324.29,0.0,324.29
2012-09-19,324.56,326.07,322.97,325.32,0.0,325.32
2012-09-18,323.75,325.24,323.29,324.05,0.0,324.05
2012-09-17,326.3,326.3,323.36,324.43,0.0,324.43
2012-09-14,324.99,329.9,324.99,327.43,0.0,327.43
2012-09-13,318.56,325.37,318.26,323.55,0.0,323.55
2012-09-12,317.93,319.54,317.23,318.53,0.0,318.53
2012-09-11,316.93,318.35,315.39,316.98,0.0,316.98
2012-09-10,319.5,319.83,316.67,316.93,0.0,316.93
2012-09-07,319.02,321.56,319.02,320.19,0.0,320.19
2012-09-06,312.77,319.04,312.69,318.7,0.0,318.7
2012-09-05,309.92,311.39,309.07,310.07,0.0,310.07
2012-09-04,309.93,312.19,307.05,310.54,0.0,310.54
2012-08-31,311.21,312.04,307.11,310.28,0.0,310.28
2012-08-30,312.68,312.68,308.66,308.72,0.0,308.72
2012-08-29,314.56,315.65,312.69,315.09,0.0,315.09
2012-08-28,312.43,315.26,311.95,314.5,0.0,314.5
2012-08-27,313.96,314.67,312.03,312.6,0.0,312.6
2012-08-24,311.97,314.47,310.95,313.59,0.0,313.59
2012-08-23,314.99,315.53,310.81,312.82,0.0,312.82
2012-08-22,314.18,316.87,313.23,315.86,0.0,315.86
2012-08-21,317.48,319.23,313.97,314.84,0.0,314.84
2012-08-20,318.1,318.1,314.9,316.94,0.0,316.94
2012-08-17,318.16,319.27,317.72,318.66,0.0,318.66
2012-08-16,314.02,318.62,314.0,317.59,0.0,317.59
2012-08-15,309.26,312.34,309.26,311.8,0.0,311.8
2012-08-14,312.85,312.85,307.98,308.72,0.0,308.72
2012-08-13,312.01,312.73,309.42,311.8,0.0,311.8
2012-08-10,310.79,312.11,310.08,312.08,0.0,312.08
2012-08-09,311.66,313.29,311.2,312.43,0.0,312.43
2012-08-08,310.34,312.6,309.96,310.94,0.0,310.94
2012-08-07,310.83,315.61,310.83,313.79,0.0,313.79
2012-08-06,305.9,310.32,305.43,309.34,0.0,309.34
2012-08-03,298.17,306.43,298.17,305.21,0.0,305.21
2012-08-02,296.99,301.93,295.76,298.17,0.0,298.17
2012-08-01,302.85,302.85,299.51,300.66,0.0,300.66
2012-07-31,303.4,305.28,302.27,302.37,0.0,302.37
2012-07-30,306.47,308.03,302.06,303.77,0.0,303.77
2012-07-27,298.55,306.87,298.37,306.27,0.0,306.27
2012-07-26,294.29,295.67,291.62,294.69,0.0,294.69
2012-07-25,289.21,292.02,287.47,288.85,0.0,288.85
2012-07-24,293.1,293.42,287.26,289.45,0.0,289.45
2012-07-23,291.29,293.51,288.19,292.77,0.0,292.77
2012-07-20,299.95,300.17,297.39,297.46,0.0,297.46
2012-07-19,297.65,302.0,297.6,300.88,0.0,300.88
2012-07-18,288.59,295.7,288.24,294.6,0.0,294.6
2012-07-17,289.49,289.64,283.68,288.59,0.0,288.59
2012-07-16,290.28,290.68,287.45,288.3,0.0,288.3
2012-07-13,287.45,291.14,286.78,290.47,0.0,290.47
2012-07-12,289.36,289.36,282.99,286.63,0.0,286.63
2012-07-11,290.64,293.55,287.19,289.34,0.0,289.34
2012-07-10,297.21,297.91,289.65,290.96,0.0,290.96
2012-07-09,298.45,298.91,293.96,294.92,0.0,294.92
2012-07-06,302.91,303.13,296.79,298.83,0.0,298.83
2012-07-05,303.59,306.81,302.76,305.2,0.0,305.2
2012-07-03,300.76,304.12,300.3,304.12,0.0,304.12
2012-07-02,301.22,301.7,298.31,300.62,0.0,300.62
2012-06-29,296.16,300.99,295.4,300.99,0.0,300.99
2012-06-28,292.23,292.78,286.94,290.56,0.0,290.56
2012-06-27,293.5,295.65,293.08,294.42,0.0,294.42
2012-06-26,291.39,293.45,289.98,292.32,0.0,292.32
2012-06-25,295.42,295.42,289.79,290.65,0.0,290.65
2012-06-22,296.08,298.44,295.29,298.2,0.0,298.2
2012-06-21,302.32,302.9,294.27,294.58,0.0,294.58
2012-06-20,304.37,305.26,301.43,303.37,0.0,303.37
2012-06-19,302.71,305.24,302.59,304.31,0.0,304.31
2012-06-18,297.9,303.14,296.61,301.85,0.0,301.85
2012-06-15,294.52,299.6,294.37,299.46,0.0,299.46
2012-06-14,293.76,294.68,291.4,294.07,0.0,294.07
2012-06-13,295.55,297.52,292.91,293.87,0.0,293.87
2012-06-12,294.94,297.14,292.59,296.83,0.0,296.83
2012-06-11,301.82,302.0,293.75,293.98,0.0,293.98
2012-06-08,296.07,299.81,294.81,299.48,0.0,299.48
2012-06-07,301.25,301.9,296.38,296.92,0.0,296.92
2012-06-06,292.11,298.21,292.11,298.21,0.0,298.21
2012-06-05,285.95,290.63,285.75,290.15,0.0,290.15
2012-06-04,286.21,288.87,283.8,287.47,0.0,287.47
2012-06-01,287.67,289.69,285.12,285.81,0.0,285.81
2012-05-31,293.61,294.86,289.63,293.28,0.0,293.28
2012-05-30,296.45,296.45,292.8,293.71,0.0,293.71
2012-05-29,299.27,301.21,297.02,300.0,0.0,300.0
2012-05-25,297.21,298.14,295.75,296.52,0.0,296.52
2012-05-24,301.68,301.68,294.72,296.88,0.0,296.88
2012-05-23,298.55,302.03,294.4,301.27,0.0,301.27
2012-05-22,300.22,302.43,296.7,298.55,0.0,298.55
2012-05-21,292.56,300.33,291.17,300.05,0.0,300.05
2012-05-18,297.96,298.94,291.56,292.08,0.0,292.08
2012-05-17,302.3,303.35,296.35,296.35,0.0,296.35
2012-05-16,306.63,308.08,302.27,302.3,0.0,302.3
2012-05-15,304.66,308.93,304.15,304.74,0.0,304.74
2012-05-14,304.08,307.17,304.08,304.66,0.0,304.66
2012-05-11,306.51,309.42,304.13,306.95,0.0,306.95
2012-05-10,310.36,310.44,305.28,306.51,0.0,306.51
2012-05-09,307.41,312.16,306.1,310.75,0.0,310.75
2012-05-08,310.71,312.16,305.32,311.06,0.0,311.06
2012-05-07,311.84,314.54,311.3,312.67,0.0,312.67
2012-05-04,318.05,318.08,312.78,313.24,0.0,313.24
2012-05-03,325.53,325.53,319.42,320.63,0.0,320.63
2012-05-02,324.64,327.69,323.7,327.29,0.0,327.29
2012-05-01,326.28,330.65,326.06,326.5,0.0,326.5
2012-04-30,327.34,328.29,325.88,327.1,0.0,327.1
2012-04-27,326.42,329.53,324.88,328.26,0.0,328.26
2012-04-26,319.28,322.56,319.09,321.5,0.0,321.5
2012-04-25,317.69,320.11,316.6,320.02,0.0,320.02
2012-04-24,316.02,316.96,312.44,314.49,0.0,314.49
