KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
CA|2|A. J.|Sekhon|2006,CA,2,H4CA02072,False,A. J.,Sekhon,DEM,2006,23663,0.5501,,,68234,0.3246
CA|2|Bill |Falzett|2006,CA,2,H6CA02192,False,Bill ,Falzett,DEM,2006,19311,0.4489,,,,
CA|2|Robert|Seals|2006,CA,2,H6CA02218,False,Robert,Seals,W(DEM),2006,43,0.001,,,,
CA|2|E. Kent|Hinesley|2006,CA,2,H6CA02200,False,E. Kent,Hinesley,LBT,2006,570,1.0,,,7057,0.0336
CA|3|Dan|Lungren|2006,CA,3,H6CA34112,True,Dan,Lungren,REP,2006,56968,1.0,,,135709,0.5948
CA|3|Bill|Durston|2006,CA,3,H6CA03091,False,Bill,Durston,DEM,2006,42980,1.0,,,86318,0.37829999999999997
CA|3|Douglas Arthur|Tuma|2006,CA,3,H8CA05134,False,Douglas Arthur,Tuma,LBT,2006,465,1.0,,,3772,0.0165
CA|3|Michael|Roskey|2006,CA,3,H6CA03109,False,Michael,Roskey,PAF,2006,83,1.0,,,2370,0.0104
CA|4|John T.|Doolittle|2006,CA,4,H0CA14042,True,John T.,Doolittle,REP,2006,63731,0.6716,,,135818,0.4905
CA|4|J.M. (Mike)|Holmes|2006,CA,4,H6CA04107,False,J.M. (Mike),Holmes,REP,2006,31162,0.3284,,,,
CA|4|Charlie|Brown|2006,CA,4,H6CA04123,False,Charlie,Brown,DEM,2006,26241,0.4629,,,126999,0.4587
CA|4|Lisa|Rea|2006,CA,4,H6CA04115,False,Lisa,Rea,DEM,2006,19038,0.33590000000000003,,,,
CA|4|Michael |Hamersley|2006,CA,4,H6CA04149,False,Michael ,Hamersley,DEM,2006,11405,0.20120000000000002,,,,
CA|4|Dan |Warren|2006,CA,4,H6CA04131,False,Dan ,Warren,LBT,2006,672,1.0,,,14076,0.0508
CA|5|Doris O.|Matsui|2006,CA,5,H6CA05195,True,Doris O.,Matsui,DEM,2006,52951,1.0,,,105676,0.708
CA|5|Claire|Yan|2006,CA,5,H6CA05328,False,Claire,Yan,REP,2006,19005,1.0,,,35106,0.2352
CA|5|Jeff |Kravitz|2006,CA,5,H6CA05310,False,Jeff ,Kravitz,GRE,2006,720,1.0,,,6466,0.0433
CA|5|John C.|Reiger|2006,CA,5,H4CA05240,False,John C.,Reiger,PAF,2006,186,1.0,,,2018,0.013500000000000002
CA|6|Lynn |Woolsey|2006,CA,6,H2CA01045,True,Lynn ,Woolsey,DEM,2006,72058,0.6616,,,173190,0.7021999999999999
CA|6|Joe|Nation|2006,CA,6,H2CA06101,False,Joe,Nation,DEM,2006,36845,0.3383,,,,
CA|6|Mike |Halliwell|2006,CA,6,H6CA06193,False,Mike ,Halliwell,W(DEM),2006,11,0.0001,,,,
CA|6|Todd|Hooper|2006,CA,6,H6CA06185,False,Todd,Hooper,REP,2006,19448,0.5738,,,64405,0.2611
