KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
NV|S|Jeffrey C.|Reeves|2010,NV,S,S0NV00328,False,Jeffrey C.,Reeves,IND,2010,,,,,2510,0.0034999999999999996
NV|S|Wil|Stand|2010,NV,S,S0NV00245,False,Wil,Stand,IND,2010,,,,,2119,0.0029
NH|1|Frank C.|Guinta|2010,NH,1,H0NH01217,False,Frank C.,Guinta,REP,2010,22237,0.3185,,,121655,0.5397
NH|1|Sean|Mahoney|2010,NH,1,H2NH01122,False,Sean,Mahoney,REP,2010,19418,0.2781,,,,
NH|1|Richard|Ashooh|2010,NH,1,H0NH01225,False,Richard,Ashooh,REP,2010,19376,0.2775,,,,
NH|1|Bob|Bestani|2010,NH,1,H0NH01209,False,Bob,Bestani,REP,2010,5337,0.0764,,,,
NH|1|Peter J.|Bearse|2010,NH,1,H8NH01111,False,Peter J.,Bearse,REP,2010,1158,0.0166,,,,
NH|1|Richard Charles|Parent|2010,NH,1,H0NH01241,False,Richard Charles,Parent,REP,2010,1051,0.0151,,,,
NH|1|Kevin|Rondeau|2010,NH,1,H0NH01258,False,Kevin,Rondeau,REP,2010,702,0.0101,,,,
NH|1|Andrew P.|Kohlhofer|2010,NH,1,H0NH01233,False,Andrew P.,Kohlhofer,REP,2010,397,0.005699999999999999,,,,
NH|1|Carol|Shea-Porter|2010,NH,1,H6NH01230,True,Carol,Shea-Porter,DEM,2010,19405,0.9643999999999999,,,95503,0.42369999999999997
NH|1|Philip|Hodson|2010,NH,1,H0NH01266,False,Philip,Hodson,LIB,2010,,,,,7966,0.0353
NH|2|Charles|Bass|2010,NH,2,H0NH02017,False,Charles,Bass,REP,2010,27457,0.42479999999999996,,,108610,0.4825
NH|2|Jennifer|Horn|2010,NH,2,H8NH02192,False,Jennifer,Horn,REP,2010,22868,0.3538,,,,
NH|2|Robert J.|Giuda|2010,NH,2,H0NH02207,False,Robert J.,Giuda,REP,2010,11145,0.1724,,,,
NH|2|Joseph G.|Reilly|2010,NH,2,H0NH02249,False,Joseph G.,Reilly,REP,2010,1757,0.027200000000000002,,,,
"NH|2|Wesley M., Jr|Sonner|2010",NH,2,H0NH02223,False,"Wesley M., Jr",Sonner,REP,2010,1192,0.0184,,,,
NH|2|Ann McLane|Kuster|2010,NH,2,H0NH02181,False,Ann McLane,Kuster,DEM,2010,25431,0.7094,,,105060,0.4667
