CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,,,,,,,
N00033085,Ted Cruz,R,2014,Oil & Gas,E01,951882,179000,772882,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033085&cycle=2014,,,,,,,
N00027500,Amy Klobuchar,D,2014,Lawyers/Law Firms,K01,944714,158910,785804,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027500&cycle=2014,,,,,,,
N00005195,Roy Blunt,R,2014,Securities & Investment,F07,943883,133200,810683,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00005195&cycle=2014,,,,,,,
N00032546,Ron Johnson,R,2014,Retired,W06,938521,0,938521,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00032546&cycle=2014,,,,,,,
N00033085,Ted Cruz,R,2014,Lawyers/Law Firms,K01,934684,57249,877435,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033085&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Real Estate,F10,932325,104100,828225,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Lawyers/Law Firms,K01,923504,164726,758778,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
N00004367,Tammy Baldwin,D,2014,Women's Issues,Q08,919103,36972,882131,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00004367&cycle=2014,,,,,,,
N00027566,Christopher S. Murphy,D,2014,Lawyers/Law Firms,K01,916108,50650,865458,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027566&cycle=2014,,,,,,,
N00030245,Bill Cassidy,R,2014,Retired,W06,912591,0,912591,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030245&cycle=2014,,,,,,,
