KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
VT|0|Mike|Bethel|2008,VT,0,H8VT00133,False,Mike,Bethel,I,2008,,,,,14349,0.0481
PR|0|Carlos A.|Velazquez Lopez|2008,PR,0,H8PR00104,False,Carlos A.,Velazquez Lopez,PPR,2008,,,,,46126,0.0242
MA|4|Earl H.|Sholley|2008,MA,4,H8MA04054,False,Earl H.,Sholley,R,2008,4087,0.9901000000000001,,,75571,0.2529
MA|8|Michael E.|Capuano|2008,MA,8,H8MA08071,True,Michael E.,Capuano,D,2008,35189,0.9861,,,185530,0.9854999999999999
OR|5|Mike|Erickson|2008,OR,5,H6OR05119,False,Mike,Erickson,R,2008,37217,0.4794,,,128297,0.3833
IA|4|William J.|Meyers|2008,IA,4,H8IA04064,False,William J.,Meyers,D,2008,2086,0.114,,,,
VA|7|Anita|Hartke|2008,VA,7,H8VA07045,False,Anita,Hartke,D,2008,0,,,,138123,0.371
CA|15|Peter|Myers|2008,CA,15,H8CA15091,False,Peter,Myers,GRE,2008,326,1.0,,,12123,0.0508
GA|10|Barry|Fleming|2008,GA,10,H8GA10114,False,Barry,Fleming,R,2008,18372,0.2901,,,,
WY|0|Mark|Gordon|2008,WY,0,H8WY00155,False,Mark,Gordon,R,2008,26827,0.3735,,,,
PA|16|Daniel|Frank|2008,PA,16,H8PA16052,False,Daniel,Frank,CON,2008,,,,,2877,0.009399999999999999
OH|7|Bill|Conner|2008,OH,7,H6OH07101,False,Bill,Conner,D,2008,30029,0.3394,,,,
MD|7|Ray|Bly|2008,MD,7,H8MD07042,False,Ray,Bly,R/W,2008,3875,0.26789999999999997,,,13,0.0
TX|30|Eddie Bernice|Johnson|2008,TX,30,H2TX00015,True,Eddie Bernice,Johnson,D,2008,90425,1.0,,,168249,0.8248000000000001
WV|2|Anne|Barth|2008,WV,2,H8WV02081,False,Anne,Barth,D,2008,66112,0.6275,,,110819,0.4292
RI|S|Robert|Healey|2008,RI,S,n/a,False,Robert,Healey,W,2008,,,,,10,0.0
FL|9|Andrew|Pasayan|2008,FL,9,H2FL09095,False,Andrew,Pasayan,W,2008,,,,,5,0.0
NY|27|Harold W.|Schroeder|2008,NY,27,H8NY27101,False,Harold W.,Schroeder,CRV,2008,0,,,,7478,0.03
CA|9|Barbara|Lee|2008,CA,9,H8CA09060,True,Barbara,Lee,D,2008,80466,0.9990000000000001,,,238915,0.8606
MI|S|Harley G.|Mikkelson|2008,MI,S,S8MI00331,False,Harley G.,Mikkelson,GRE,2008,,,,,43440,0.009000000000000001
WV|1|Alan B.|Mollohan|2008,WV,1,H2WV01029,True,Alan B.,Mollohan,D,2008,95674,1.0,,,187734,0.9993000000000001
AZ|2|John|Thrasher|2008,AZ,2,H6AZ02155,False,John,Thrasher,D,2008,27711,1.0,,,125611,0.3716
MA|1|John W.|Olver|2008,MA,1,H2MA01020,True,John W.,Olver,D,2008,33513,0.792,,,215696,0.7284999999999999
OR|3|Joseph (Lone Vet)|Walsh|2008,OR,3,H8OR03037,False,Joseph (Lone Vet),Walsh,D,2008,8783,0.0629,,,,
AR|2|Vic|Snyder|2008,AR,2,H6AR02203,True,Vic,Snyder,D,2008,0,,,,212303,0.7654000000000001
ID|S|Scott A.|Syme|2008,ID,S,S8ID00126,False,Scott A.,Syme,R,2008,16660,0.1348,,,,
MP|0|Felipe Quitugua|Atalig|2008,MP,0,H8MP00066,False,Felipe Quitugua,Atalig,I,2008,,,,,249,0.0245
NY|27|Brian|Higgins|2008,NY,27,H4NY27076,True,Brian,Higgins,"WF,D",2008,0,,,,169196,0.6779999999999999
WA|7|Jim|McDermott|2008,WA,7,H8WA07132,True,Jim,McDermott,D,2008,95344,0.7382,,,291963,0.8365
WA|7|Mark A.|Goldman|2008,WA,7,H8WA07199,False,Mark A.,Goldman,NOP,2008,3410,0.0264,,,,
ID|S|Fred M.|Adams|2008,ID,S,S8ID00134,False,Fred M.,Adams,R,2008,4987,0.0404,,,,
CA|35|Herb|Peters|2008,CA,35,H8CA35107,False,Herb,Peters,LBT,2008,68,1.0,,,7632,0.0418
MT|0|Denny|Rehberg|2008,MT,0,H0MT00033,True,Denny,Rehberg,R,2008,90492,1.0,,,308470,0.6414
NC|2|Will|Adkins|2008,NC,2,H8NC02045,False,Will,Adkins,LBT,2008,,,,,5377,0.018000000000000002
AR|3|Abel Noah|Tomlinson|2008,AR,3,H8AR03058,False,Abel Noah,Tomlinson,GRE,2008,,,,,58850,0.2147
MD|1|Richard James|Davis|2008,MD,1,H8MD01169,False,Richard James,Davis,LBT,2008,,,,,8873,0.0246
ID|1|Walt|Minnick|2008,ID,1,H8ID01090,False,Walt,Minnick,D,2008,19449,1.0,,,175898,0.5061
NC|10|Daniel|Johnson|2008,NC,10,H8NC10055,False,Daniel,Johnson,D,2008,41076,0.6015,,,126699,0.42450000000000004
CA|42|Michael|Williamson|2008,CA,42,H8CA42210,False,Michael,Williamson,D,2008,5217,0.2787,,,,
